date,enso,iod,pdo
1997-08-04,2.151983,0.254648,1.522955
1997-08-11,2.342978,0.406503,1.679355
1997-08-18,2.497315,0.744,1.605137
1997-08-24,2.600858,0.748735,1.500945
1997-08-31,2.677789,0.70739,1.576133
1997-09-07,2.76085,0.783695,1.750896
1997-09-15,2.90577,0.930693,1.854547
1997-09-22,2.957678,1.057116,1.769617
1997-09-29,3.029172,1.369767,1.929921
1997-10-05,3.105771,1.945272,1.71329
1997-10-12,3.198867,2.153207,1.810833
1997-10-19,3.220213,2.469895,1.855319
1997-10-27,3.230082,2.529025,1.398615
1997-11-03,3.40248,3.069673,1.734365
1997-11-09,3.378386,3.208716,1.508893
1997-11-16,3.40326,3.367483,1.12383
1997-11-23,3.31329,3.604127,1.03805
1997-12-01,3.272617,3.796761,0.916407
1997-12-08,3.274315,3.948687,1.078622
1997-12-15,3.282396,4.039791,1.125286
1997-12-21,3.147514,4.021252,1.148268
1997-12-28,2.993136,3.865265,1.32359
1998-01-04,2.928756,3.324924,1.617255
1998-01-12,2.818883,3.175237,1.229586
1998-01-19,2.695415,3.055263,1.244823
1998-01-26,2.62053,2.928525,1.65936
1998-02-01,2.6843,2.570955,1.805667
1998-02-08,2.518185,2.542038,1.67048
1998-02-16,2.228997,2.626077,1.313671
1998-02-23,2.023844,2.556669,1.214814
1998-03-02,2.02922,2.468337,1.41289
1998-03-08,1.865012,2.486144,1.596126
1998-03-15,1.784811,2.367294,1.553021
1998-03-22,1.656466,2.218156,1.333496
1998-03-30,1.52491,2.078248,0.916768
1998-04-06,1.46959,2.351608,0.610701
1998-04-13,1.296947,1.928899,0.496978
1998-04-19,1.212127,1.546755,0.633343
1998-04-26,1.151897,1.175948,1.036104
1998-05-03,1.022826,1.71952,0.924758
1998-05-11,0.853394,1.385306,0.784318
1998-05-18,0.67062,0.618419,0.546161
1998-05-24,0.539135,-0.270804,0.445199
1998-05-31,0.228536,-0.705175,0.62042
1998-06-07,0.137163,-0.628643,0.690406
1998-06-15,0.081994,-0.467449,0.485951
1998-06-22,0.090521,-0.349818,0.519987
1998-06-29,0.017312,-0.060557,0.517083
1998-07-05,-0.248079,-0.142387,0.316833
